ticker,last_tran_date,last_tran_time,ask_price,bid_price,open,previous_close,days_high,days_low,volume
YHOO,3/3/2016,9:30:00,32.71,32.65,32.71,32.91,33,33,81716
YHOO,3/3/2016,9:31:00,32.77,32.76,32.71,32.91,33,33,124969
YHOO,3/3/2016,9:32:00,32.82,32.81,32.71,32.91,33,33,188762
YHOO,3/3/2016,9:33:00,32.81,32.8,32.71,32.91,33,33,254370
YHOO,3/3/2016,9:34:00,32.87,32.86,32.71,32.91,33,33,273798
YHOO,3/3/2016,9:35:00,32.98,32.97,32.71,32.91,33,33,328820
YHOO,3/3/2016,9:36:00,33.04,33.03,32.71,32.91,33,33,484601
YHOO,3/3/2016,9:37:00,33.01,33,32.71,32.91,33,33,551714
YHOO,3/3/2016,9:38:00,33.04,33.03,32.71,32.91,33,33,591184
YHOO,3/3/2016,9:39:00,33.01,33,32.71,32.91,33,33,609494
YHOO,3/3/2016,9:40:00,33.08,33.07,32.71,32.91,33,33,654765
YHOO,3/3/2016,9:41:00,33.13,33.12,32.71,32.91,33,33,703545
YHOO,3/3/2016,9:42:00,33.12,33.11,32.71,32.91,33,33,740776
YHOO,3/3/2016,9:43:00,33.19,33.18,32.71,32.91,33,33,837749
YHOO,3/3/2016,9:44:00,33.12,33.11,32.71,32.91,33,33,885575
YHOO,3/3/2016,9:45:00,33.1,33.09,32.71,32.91,33,33,911893
YHOO,3/3/2016,9:46:00,33.04,33.03,32.71,32.91,33,33,932397
YHOO,3/3/2016,9:47:00,33.03,33.02,32.71,32.91,33,33,964162
YHOO,3/3/2016,9:48:00,33.01,33,32.71,32.91,33,33,991225
YHOO,3/3/2016,9:49:00,32.97,32.96,32.71,32.91,33,33,1004305
YHOO,3/3/2016,9:50:00,32.99,32.98,32.71,32.91,33,33,1069135
YHOO,3/3/2016,9:51:00,33.02,33.01,32.71,32.91,33,33,1116260
YHOO,3/3/2016,9:52:00,33.01,33,32.71,32.91,33,33,1137728
YHOO,3/3/2016,9:53:00,33.02,33.01,32.71,32.91,33,33,1164783
YHOO,3/3/2016,9:54:00,33.03,33.02,32.71,32.91,33,33,1175783
YHOO,3/3/2016,9:55:00,33.01,33,32.71,32.91,33,33,1198239
YHOO,3/3/2016,9:56:00,33.03,33.02,32.71,32.91,33,33,1256302
YHOO,3/3/2016,9:57:00,33.04,33.03,32.71,32.91,33,33,1292473
YHOO,3/3/2016,9:58:00,32.98,32.97,32.71,32.91,33,33,1311522
YHOO,3/3/2016,9:59:00,32.99,32.98,32.71,32.91,33,33,1376444
YHOO,3/3/2016,10:00:00,32.91,32.9,32.71,32.91,33,33,1417064
YHOO,3/3/2016,10:01:00,32.85,32.84,32.71,32.91,33,33,1488117
YHOO,3/3/2016,10:02:00,32.87,32.86,32.71,32.91,33,33,1530254
YHOO,3/3/2016,10:03:00,32.89,32.88,32.71,32.91,33,33,1554744
YHOO,3/3/2016,10:04:00,33.02,33.01,32.71,32.91,33,33,1599444
YHOO,3/3/2016,10:05:00,32.99,32.98,32.71,32.91,33,33,1622906
YHOO,3/3/2016,10:06:00,32.98,32.97,32.71,32.91,33,33,1647769
YHOO,3/3/2016,10:07:00,32.96,32.95,32.71,32.91,33,33,1683756
YHOO,3/3/2016,10:08:00,32.96,32.95,32.71,32.91,33,33,1700350
YHOO,3/3/2016,10:10:00,32.96,32.95,32.71,32.91,33,33,1711285
YHOO,3/3/2016,10:10:00,33.01,33,32.71,32.91,33,33,1732681
YHOO,3/3/2016,10:12:00,33.01,33,32.71,32.91,33,33,1768526
YHOO,3/3/2016,10:13:00,32.95,32.94,32.71,32.91,33,33,1776254
YHOO,3/3/2016,10:14:00,32.87,32.86,32.71,32.91,33,33,1826850
YHOO,3/3/2016,10:15:00,32.86,32.85,32.71,32.91,33,33,1868009
YHOO,3/3/2016,10:16:00,32.9,32.89,32.71,32.91,33,33,1893428
YHOO,3/3/2016,10:17:00,32.9,32.89,32.71,32.91,33,33,1903461
YHOO,3/3/2016,10:18:00,32.92,32.91,32.71,32.91,33,33,1909429
YHOO,3/3/2016,10:19:00,32.94,32.93,32.71,32.91,33,33,1933564
YHOO,3/3/2016,10:20:00,32.96,32.95,32.71,32.91,33,33,1992659
YHOO,3/3/2016,10:21:00,32.93,32.92,32.71,32.91,33,33,2001508
YHOO,3/3/2016,10:22:00,32.96,32.95,32.71,32.91,33,33,2028582
YHOO,3/3/2016,10:23:00,32.99,32.98,32.71,32.91,33,33,2037536
YHOO,3/3/2016,10:24:00,32.97,32.96,32.71,32.91,33,33,2054141
YHOO,3/3/2016,10:25:00,32.94,32.93,32.71,32.91,33,33,2107447
YHOO,3/3/2016,10:26:00,32.91,32.9,32.71,32.91,33,33,2122513
YHOO,3/3/2016,10:27:00,32.91,32.9,32.71,32.91,33,33,2126743
YHOO,3/3/2016,10:28:00,32.92,32.91,32.71,32.91,33,33,2157664
YHOO,3/3/2016,10:29:00,32.93,32.92,32.71,32.91,33,33,2180579
YHOO,3/3/2016,10:30:00,32.97,32.96,32.71,32.91,33,33,2200290
YHOO,3/3/2016,10:31:00,32.97,32.96,32.71,32.91,33,33,2213014
YHOO,3/3/2016,10:32:00,32.98,32.97,32.71,32.91,33,33,2218968
YHOO,3/3/2016,10:33:00,32.96,32.95,32.71,32.91,33,33,2262638
YHOO,3/3/2016,10:34:00,32.94,32.93,32.71,32.91,33,33,2300668
YHOO,3/3/2016,10:35:00,32.89,32.88,32.71,32.91,33,33,2384423
YHOO,3/3/2016,10:36:00,32.89,32.88,32.71,32.91,33,33,2396852
YHOO,3/3/2016,10:37:00,32.92,32.91,32.71,32.91,33,33,2427412
YHOO,3/3/2016,10:38:00,32.93,32.92,32.71,32.91,33,33,2438802
YHOO,3/3/2016,10:39:00,32.94,32.93,32.71,32.91,33,33,2476487
YHOO,3/3/2016,10:40:00,32.97,32.96,32.71,32.91,33,33,2506223
YHOO,3/3/2016,10:41:00,32.94,32.93,32.71,32.91,33,33,2537497
YHOO,3/3/2016,10:42:00,32.93,32.92,32.71,32.91,33,33,2559874
YHOO,3/3/2016,10:43:00,32.9,32.89,32.71,32.91,33,33,2615914
YHOO,3/3/2016,10:44:00,32.89,32.88,32.71,32.91,33,33,2643843
YHOO,3/3/2016,10:45:00,32.88,32.87,32.71,32.91,33,33,2666806
YHOO,3/3/2016,10:46:00,32.9,32.89,32.71,32.91,33,33,2682792
YHOO,3/3/2016,10:47:00,32.93,32.92,32.71,32.91,33,33,2705549
YHOO,3/3/2016,10:48:00,32.92,32.91,32.71,32.91,33,33,2731528
YHOO,3/3/2016,10:49:00,32.89,32.88,32.71,32.91,33,33,2774138
YHOO,3/3/2016,10:50:00,32.91,32.9,32.71,32.91,33,33,2801355
YHOO,3/3/2016,10:51:00,32.9,32.89,32.71,32.91,33,33,2826720
YHOO,3/3/2016,10:52:00,32.91,32.9,32.71,32.91,33,33,2868583
YHOO,3/3/2016,10:53:00,32.89,32.88,32.71,32.91,33,33,2895123
YHOO,3/3/2016,10:54:00,32.86,32.85,32.71,32.91,33,33,2927930
YHOO,3/3/2016,10:55:00,32.89,32.88,32.71,32.91,33,33,2957461
YHOO,3/3/2016,10:56:00,32.83,32.82,32.71,32.91,33,33,2982388
YHOO,3/3/2016,10:57:00,32.86,32.85,32.71,32.91,33,33,3015731
YHOO,3/3/2016,10:58:00,32.8,32.79,32.71,32.91,33,33,3048839
YHOO,3/3/2016,10:59:00,32.8,32.79,32.71,32.91,33,33,3088336
YHOO,3/3/2016,11:00:00,32.77,32.76,32.71,32.91,33,33,3132047
YHOO,3/3/2016,11:01:00,32.78,32.77,32.71,32.91,33,33,3151969
YHOO,3/3/2016,11:03:00,32.74,32.73,32.71,32.91,33,33,3214657
YHOO,3/3/2016,11:04:00,32.71,32.7,32.71,32.91,33,33,3265206
YHOO,3/3/2016,11:05:00,32.73,32.72,32.71,32.91,33,33,3288409
YHOO,3/3/2016,11:06:00,32.67,32.66,32.71,32.91,33,33,3330261
YHOO,3/3/2016,11:07:00,32.67,32.66,32.71,32.91,33,33,3391596
YHOO,3/3/2016,11:08:00,32.68,32.67,32.71,32.91,33,33,3434432
YHOO,3/3/2016,11:09:00,32.72,32.72,32.71,32.91,33,33,3482389
YHOO,3/3/2016,11:10:00,32.72,32.71,32.71,32.91,33,33,3498232
YHOO,3/3/2016,11:11:00,32.7,32.69,32.71,32.91,33,33,3521863
YHOO,3/3/2016,11:12:00,32.68,32.67,32.71,32.91,33,33,3566681
YHOO,3/3/2016,11:13:00,32.66,32.65,32.71,32.91,33,33,3612194
YHOO,3/3/2016,11:14:00,32.63,32.62,32.71,32.91,33,33,3664469
YHOO,3/3/2016,11:15:00,32.62,32.61,32.71,32.91,33,33,3716906
YHOO,3/3/2016,11:16:00,32.61,32.6,32.71,32.91,33,33,3749643
YHOO,3/3/2016,11:17:00,32.58,32.57,32.71,32.91,33,33,3797239
YHOO,3/3/2016,11:18:00,32.6,32.59,32.71,32.91,33,33,3958817
YHOO,3/3/2016,11:19:00,32.61,32.6,32.71,32.91,33,33,4026173
YHOO,3/3/2016,11:20:00,32.66,32.65,32.71,32.91,33,33,4101951
YHOO,3/3/2016,11:21:00,32.59,32.58,32.71,32.91,33,33,4138084
YHOO,3/3/2016,11:22:00,32.51,32.5,32.71,32.91,33,32,4197137
YHOO,3/3/2016,11:23:00,32.48,32.47,32.71,32.91,33,32,4267374
YHOO,3/3/2016,11:24:00,32.47,32.46,32.71,32.91,33,32,4305035
YHOO,3/3/2016,11:25:00,32.48,32.47,32.71,32.91,33,32,4330374
YHOO,3/3/2016,11:26:00,32.49,32.48,32.71,32.91,33,32,4351394
YHOO,3/3/2016,11:27:00,32.5,32.49,32.71,32.91,33,32,4413340
YHOO,3/3/2016,11:28:00,32.47,32.46,32.71,32.91,33,32,4450723
YHOO,3/3/2016,11:29:00,32.46,32.45,32.71,32.91,33,32,4503739
YHOO,3/3/2016,11:30:00,32.47,32.46,32.71,32.91,33,32,4547379
YHOO,3/3/2016,11:31:00,32.47,32.46,32.71,32.91,33,32,4644717
YHOO,3/3/2016,11:32:00,32.51,32.5,32.71,32.91,33,32,4677636
YHOO,3/3/2016,11:33:00,32.54,32.53,32.71,32.91,33,32,4701002
YHOO,3/3/2016,11:34:00,32.51,32.5,32.71,32.91,33,32,4720058
YHOO,3/3/2016,11:35:00,32.5,32.49,32.71,32.91,33,32,4730309
YHOO,3/3/2016,11:36:00,32.52,32.51,32.71,32.91,33,32,4758375
YHOO,3/3/2016,11:37:00,32.52,32.51,32.71,32.91,33,32,4769653
YHOO,3/3/2016,11:38:00,32.54,32.53,32.71,32.91,33,32,4782202
YHOO,3/3/2016,11:39:00,32.55,32.54,32.71,32.91,33,32,4797146
YHOO,3/3/2016,11:40:00,32.53,32.52,32.71,32.91,33,32,4807730
YHOO,3/3/2016,11:41:00,32.55,32.54,32.71,32.91,33,32,4819362
YHOO,3/3/2016,11:42:00,32.55,32.54,32.71,32.91,33,32,4828901
YHOO,3/3/2016,11:43:00,32.56,32.55,32.71,32.91,33,32,4841535
YHOO,3/3/2016,11:47:00,32.54,32.53,32.71,32.91,33,32,4873187
YHOO,3/3/2016,11:48:00,32.55,32.54,32.71,32.91,33,32,4900114
YHOO,3/3/2016,11:49:00,32.57,32.56,32.71,32.91,33,32,4909184
YHOO,3/3/2016,11:50:00,32.6,32.59,32.71,32.91,33,32,4921904
YHOO,3/3/2016,11:52:00,32.63,32.62,32.71,32.91,33,32,4938751
YHOO,3/3/2016,11:52:00,32.62,32.61,32.71,32.91,33,32,4952236
YHOO,3/3/2016,11:54:00,32.59,32.58,32.71,32.91,33,32,4981010
YHOO,3/3/2016,11:55:00,32.57,32.56,32.71,32.91,33,32,4996992
YHOO,3/3/2016,11:56:00,32.58,32.57,32.71,32.91,33,32,5042386
YHOO,3/3/2016,11:57:00,32.6,32.59,32.71,32.91,33,32,5073267
YHOO,3/3/2016,11:58:00,32.64,32.63,32.71,32.91,33,32,5103392
YHOO,3/3/2016,12:00:00,32.64,32.63,32.71,32.91,33,32,5121191
YHOO,3/3/2016,12:01:00,32.65,32.64,32.71,32.91,33,32,5138371
YHOO,3/3/2016,12:02:00,32.61,32.6,32.71,32.91,33,32,5148815
YHOO,3/3/2016,12:03:00,32.62,32.61,32.71,32.91,33,32,5159517
YHOO,3/3/2016,12:04:00,32.65,32.64,32.71,32.91,33,32,5168229
YHOO,3/3/2016,12:05:00,32.65,32.64,32.71,32.91,33,32,5180092
YHOO,3/3/2016,12:06:00,32.62,32.61,32.71,32.91,33,32,5206175
YHOO,3/3/2016,12:07:00,32.67,32.66,32.71,32.91,33,32,5219047
YHOO,3/3/2016,12:08:00,32.67,32.66,32.71,32.91,33,32,5222859
YHOO,3/3/2016,12:09:00,32.7,32.69,32.71,32.91,33,32,5233214
YHOO,3/3/2016,12:10:00,32.68,32.67,32.71,32.91,33,32,5238588
YHOO,3/3/2016,12:11:00,32.65,32.64,32.71,32.91,33,32,5253240
YHOO,3/3/2016,12:12:00,32.64,32.63,32.71,32.91,33,32,5258789
YHOO,3/3/2016,12:13:00,32.61,32.6,32.71,32.91,33,32,5320041
YHOO,3/3/2016,12:14:00,32.57,32.56,32.71,32.91,33,32,5338220
YHOO,3/3/2016,12:15:00,32.59,32.58,32.71,32.91,33,32,5366595
YHOO,3/3/2016,12:16:00,32.51,32.5,32.71,32.91,33,32,5415542
YHOO,3/3/2016,12:18:00,32.49,32.48,32.71,32.91,33,32,5449548
YHOO,3/3/2016,12:19:00,32.5,32.49,32.71,32.91,33,32,5473012
YHOO,3/3/2016,12:20:00,32.47,32.46,32.71,32.91,33,32,5493649
YHOO,3/3/2016,12:21:00,32.49,32.48,32.71,32.91,33,32,5513930
YHOO,3/3/2016,12:22:00,32.53,32.52,32.71,32.91,33,32,5551808
YHOO,3/3/2016,12:23:00,32.56,32.55,32.71,32.91,33,32,5564159
YHOO,3/3/2016,12:24:00,32.59,32.58,32.71,32.91,33,32,5574069
YHOO,3/3/2016,12:26:00,32.57,32.56,32.71,32.91,33,32,5587025
YHOO,3/3/2016,12:27:00,32.59,32.58,32.71,32.91,33,32,5606553
YHOO,3/3/2016,12:28:00,32.59,32.58,32.71,32.91,33,32,5612700
YHOO,3/3/2016,12:29:00,32.61,32.6,32.71,32.91,33,32,5689643
YHOO,3/3/2016,12:30:00,32.6,32.59,32.71,32.91,33,32,5765332
YHOO,3/3/2016,12:33:00,32.66,32.65,32.71,32.91,33,32,5860242
YHOO,3/3/2016,12:34:00,32.67,32.66,32.71,32.91,33,32,5872729
